year,anomaly,roll5,roll10,decade
1880,-0.17,,,1880
1881,-0.08,,,1880
1882,-0.11,-0.162,,1880
1883,-0.17,-0.194,,1880
1884,-0.28,-0.24000000000000005,,1880
1885,-0.33,-0.29,-0.21000000000000002,1880
1886,-0.31,-0.292,-0.229,1880
1887,-0.36,-0.258,-0.24300000000000002,1880
1888,-0.18,-0.26399999999999996,-0.259,1880
1889,-0.11,-0.24599999999999994,-0.273,1880
1890,-0.36,-0.22800000000000004,-0.27599999999999997,1890
1891,-0.22,-0.254,-0.266,1890
1892,-0.27,-0.294,-0.24699999999999997,1890
1893,-0.31,-0.268,-0.22200000000000003,1890
1894,-0.31,-0.24800000000000005,-0.23199999999999998,1890
1895,-0.23,-0.21600000000000003,-0.23900000000000002,1890
1896,-0.12,-0.21000000000000002,-0.21200000000000002,1890
1897,-0.11,-0.184,-0.20600000000000002,1890
1898,-0.28,-0.156,-0.20700000000000002,1890
1899,-0.18,-0.164,-0.213,1890
1900,-0.09,-0.198,-0.22999999999999998,1900
1901,-0.16,-0.21600000000000003,-0.233,1900
1902,-0.28,-0.27599999999999997,-0.24300000000000002,1900
1903,-0.37,-0.30999999999999994,-0.271,1900
1904,-0.48,-0.322,-0.286,1900
1905,-0.26,-0.344,-0.317,1900
1906,-0.22,-0.356,-0.352,1900
1907,-0.39,-0.358,-0.381,1900
1908,-0.43,-0.39399999999999996,-0.39,1900
1909,-0.49,-0.43999999999999995,-0.388,1900
1910,-0.44,-0.43600000000000005,-0.356,1910
1911,-0.45,-0.42000000000000004,-0.344,1910
1912,-0.37,-0.354,-0.358,1910
1913,-0.35,-0.29400000000000004,-0.365,1910
1914,-0.16,-0.27599999999999997,-0.352,1910
1915,-0.14,-0.294,-0.331,1910
1916,-0.36,-0.284,-0.31500000000000006,1910
1917,-0.46,-0.308,-0.28900000000000003,1910
1918,-0.3,-0.33599999999999997,-0.281,1910
1919,-0.28,-0.302,-0.273,1910
1920,-0.28,-0.268,-0.28400000000000003,1920
1921,-0.19,-0.262,-0.292,1920
1922,-0.29,-0.26,-0.267,1920
1923,-0.27,-0.248,-0.24300000000000002,1920
1924,-0.27,-0.23200000000000004,-0.233,1920
1925,-0.22,-0.21800000000000003,-0.24100000000000002,1920
1926,-0.11,-0.20400000000000001,-0.229,1920
1927,-0.22,-0.22199999999999998,-0.219,1920
1928,-0.2,-0.21000000000000002,-0.20600000000000002,1920
1929,-0.36,-0.20600000000000002,-0.20800000000000002,1920
1930,-0.16,-0.194,-0.194,1930
1931,-0.09,-0.21200000000000002,-0.192,1930
1932,-0.16,-0.16599999999999998,-0.196,1930
1933,-0.29,-0.174,-0.177,1930
1934,-0.13,-0.186,-0.15699999999999997,1930
1935,-0.2,-0.15999999999999998,-0.123,1930
1936,-0.15,-0.10200000000000001,-0.095,1930
1937,-0.03,-0.08,-0.06799999999999999,1930
1938,0.0,-0.016,-0.046,1930
1939,-0.02,0.05,-0.008000000000000004,1930
1940,0.12,0.068,0.024999999999999998,1940
1941,0.18,0.086,0.05399999999999999,1940
1942,0.06,0.13,0.062,1940
1943,0.09,0.124,0.062,1940
1944,0.2,0.074,0.051000000000000004,1940
1945,0.09,0.05600000000000001,0.042,1940
1946,-0.07,0.016,0.012999999999999994,1940
1947,-0.03,-0.046,-0.012000000000000005,1940
1948,-0.11,-0.098,-0.017000000000000005,1940
1949,-0.11,-0.098,-0.018000000000000002,1940
1950,-0.17,-0.09,-0.051000000000000004,1950
1951,-0.07,-0.052000000000000005,-0.074,1950
1952,0.01,-0.05600000000000001,-0.08600000000000001,1950
1953,0.08,-0.05,-0.078,1950
1954,-0.13,-0.074,-0.06100000000000001,1950
1955,-0.14,-0.066,-0.04700000000000001,1950
1956,-0.19,-0.07,-0.03300000000000001,1950
1957,0.05,-0.038,-0.020000000000000007,1950
1958,0.06,-0.016,-0.018000000000000006,1950
1959,0.03,0.033999999999999996,-0.021,1950
1960,-0.03,0.03,-0.028000000000000004,1960
1961,0.06,0.028000000000000004,-0.025000000000000005,1960
1962,0.03,-0.018,-0.012000000000000004,1960
1963,0.05,-0.033999999999999996,-0.019000000000000003,1960
1964,-0.2,-0.057999999999999996,-0.033,1960
1965,-0.11,-0.06799999999999999,-0.031000000000000007,1960
1966,-0.06,-0.094,-0.025,1960
1967,-0.02,-0.044,-0.03900000000000001,1960
1968,-0.08,-0.016,-0.041,1960
1969,0.05,-0.02,-0.030000000000000006,1960
1970,0.03,-0.014000000000000002,-0.017,1970
1971,-0.08,0.033999999999999996,-0.007000000000000001,1970
1972,0.01,0.01,-0.011000000000000001,1970
1973,0.16,0.002000000000000001,0.008999999999999998,1970
1974,-0.07,-0.001999999999999999,0.024,1970
1975,-0.01,0.032,0.034999999999999996,1970
1976,-0.1,0.014000000000000002,0.057999999999999996,1970
1977,0.18,0.06000000000000001,0.098,1970
1978,0.07,0.11400000000000002,0.11100000000000002,1970
1979,0.16,0.198,0.126,1970
1980,0.26,0.19000000000000003,0.149,1980
1981,0.32,0.238,0.162,1980
1982,0.14,0.23800000000000004,0.19,1980
1983,0.31,0.21000000000000002,0.20400000000000001,1980
1984,0.16,0.182,0.236,1980
1985,0.12,0.21800000000000003,0.24699999999999997,1980
1986,0.18,0.23399999999999999,0.266,1980
1987,0.32,0.25600000000000006,0.274,1980
1988,0.39,0.322,0.28200000000000003,1980
1989,0.27,0.366,0.274,1980
1990,0.45,0.346,0.28900000000000003,1990
1991,0.4,0.31399999999999995,0.32100000000000006,1990
1992,0.22,0.32199999999999995,0.336,1990
1993,0.23,0.32,0.35,1990
1994,0.31,0.306,0.372,1990
1995,0.44,0.354,0.383,1990
1996,0.33,0.43000000000000005,0.377,1990
1997,0.46,0.44400000000000006,0.39,1990
1998,0.61,0.434,0.43099999999999994,1990
1999,0.38,0.47400000000000003,0.46900000000000003,1990
2000,0.39,0.508,0.491,2000
2001,0.53,0.508,0.515,2000
2002,0.63,0.538,0.546,2000
2003,0.61,0.596,0.5660000000000001,2000
2004,0.53,0.6180000000000001,0.5589999999999999,2000
2005,0.68,0.624,0.5860000000000001,2000
2006,0.64,0.6100000000000001,0.619,2000
2007,0.66,0.6340000000000001,0.627,2000
2008,0.54,0.642,0.628,2000
2009,0.65,0.636,0.634,2000
2010,0.72,0.632,0.6559999999999999,2010
2011,0.61,0.658,0.677,2010
2012,0.64,0.678,0.7140000000000001,2010
2013,0.67,0.712,0.7390000000000001,2010
2014,0.75,0.792,0.77,2010
2015,0.89,0.8460000000000001,0.8029999999999999,2010
2016,1.01,0.882,0.8320000000000001,2010
2017,0.91,0.9279999999999999,0.8560000000000001,2010
2018,0.85,0.952,0.881,2010
2019,0.98,0.9199999999999999,0.931,2010
2020,1.01,0.916,0.984,2020
2021,0.85,0.9800000000000001,1.014,2020
2022,0.89,1.0399999999999998,,2020
2023,1.17,1.076,,2020
2024,1.28,,,2020
2025,1.19,,,2020
