year,global,n_hem,s_hem,mex_norte,mex_sur,global_r10,n_hem_r10,s_hem_r10,mex_norte_r10,mex_sur_r10
1880,-0.17,-0.31,-0.04,-0.32,-0.16,,,,,
1881,-0.08,-0.19,0.01,-0.24,0.09,,,,,
1882,-0.11,-0.22,0.0,-0.17,-0.06,,,,,
1883,-0.17,-0.29,-0.06,-0.28,-0.18,,,,,
1884,-0.28,-0.43,-0.14,-0.48,-0.13,,,,,
1885,-0.33,-0.44,-0.24,-0.48,-0.08,-0.21000000000000002,-0.318,-0.10900000000000001,-0.324,-0.10200000000000001
1886,-0.31,-0.44,-0.19,-0.42,-0.23,-0.229,-0.327,-0.137,-0.32,-0.11499999999999999
1887,-0.36,-0.44,-0.28,-0.31,-0.31,-0.24300000000000002,-0.33399999999999996,-0.157,-0.33199999999999996,-0.126
1888,-0.18,-0.24,-0.11,-0.26,0.04,-0.259,-0.352,-0.172,-0.33199999999999996,-0.155
1889,-0.11,-0.18,-0.04,-0.28,0.0,-0.273,-0.37,-0.181,-0.35100000000000003,-0.181
1890,-0.36,-0.4,-0.32,-0.28,-0.29,-0.27599999999999997,-0.366,-0.189,-0.32100000000000006,-0.219
1891,-0.22,-0.26,-0.19,-0.36,-0.02,-0.266,-0.35300000000000004,-0.18,-0.30000000000000004,-0.22799999999999998
1892,-0.27,-0.4,-0.15,-0.17,-0.35,-0.24699999999999997,-0.329,-0.164,-0.27999999999999997,-0.20299999999999999
1893,-0.31,-0.47,-0.15,-0.47,-0.44,-0.22200000000000003,-0.302,-0.141,-0.274,-0.161
1894,-0.31,-0.39,-0.22,-0.18,-0.51,-0.23199999999999998,-0.30700000000000005,-0.156,-0.272,-0.185
1895,-0.23,-0.31,-0.15,-0.27,-0.17,-0.23900000000000002,-0.31,-0.166,-0.259,-0.202
1896,-0.12,-0.2,-0.03,-0.22,0.02,-0.21200000000000002,-0.27999999999999997,-0.141,-0.24700000000000003,-0.166
1897,-0.11,-0.17,-0.05,-0.25,0.11,-0.20600000000000002,-0.267,-0.13999999999999999,-0.22600000000000003,-0.172
1898,-0.28,-0.29,-0.26,-0.24,-0.2,-0.20700000000000002,-0.261,-0.14700000000000002,-0.24100000000000002,-0.141
