Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.31,-.04,-.40,-.13,-.01,-.78,-.52,-.32,-.16,-.10,-.03,.05,.69
1881,-.08,-.19,.01,-.36,.10,-.06,-.84,-.46,-.24,.09,.11,-.04,-.07,.61
1882,-.11,-.22,.00,-.31,-.05,.02,-1.34,-.28,-.17,-.06,-.04,.02,.04,.64
1883,-.17,-.29,-.06,-.35,-.17,.00,-.13,-.56,-.28,-.18,-.15,-.03,.07,.52
1884,-.28,-.43,-.14,-.61,-.15,-.13,-1.26,-.65,-.48,-.13,-.16,-.18,-.02,.67
1885,-.33,-.44,-.24,-.66,-.14,-.27,-1.46,-.69,-.48,-.08,-.20,-.33,-.15,.84
1886,-.31,-.44,-.19,-.57,-.20,-.21,-1.54,-.51,-.42,-.23,-.18,-.19,-.20,.61
1887,-.36,-.44,-.28,-.52,-.31,-.27,-1.71,-.50,-.31,-.31,-.30,-.27,-.26,.34
1888,-.18,-.24,-.11,-.42,.09,-.28,-1.26,-.44,-.26,.04,.13,-.30,-.22,.18
1889,-.11,-.18,-.04,-.29,.07,-.16,-.64,-.23,-.28,.00,.14,-.15,-.15,.47
1890,-.36,-.40,-.32,-.46,-.38,-.22,-1.10,-.57,-.28,-.29,-.47,-.17,-.27,.17
1891,-.22,-.26,-.19,-.41,-.09,-.21,-1.07,-.33,-.36,-.02,-.16,-.18,-.24,-.14
1892,-.27,-.40,-.15,-.42,-.31,-.08,-1.07,-.64,-.17,-.35,-.26,.03,-.21,.11
1893,-.31,-.47,-.15,-.50,-.38,-.04,-.61,-.53,-.47,-.44,-.32,.07,-.20,-.02
1894,-.31,-.39,-.22,-.32,-.36,-.23,-.91,-.33,-.18,-.51,-.20,-.14,-.35,-.36
1895,-.23,-.31,-.15,-.40,-.09,-.25,-.64,-.52,-.27,-.17,-.01,-.19,-.32,-.56
1896,-.12,-.20,-.03,-.35,.08,-.15,-.84,-.37,-.22,.02,.13,-.15,-.13,.27
1897,-.11,-.17,-.05,-.35,.15,-.23,-.52,-.46,-.25,.11,.19,-.18,-.27,.42
1898,-.28,-.29,-.26,-.35,-.23,-.26,-1.12,-.24,-.24,-.20,-.27,-.27,-.21,.40
1899,-.18,-.21,-.14,-.24,-.13,-.18,-.98,-.10,-.15,-.17,-.09,-.15,-.22,.60
1900,-.09,-.10,-.07,-.20,.15,-.30,-.51,-.16,-.16,.07,.24,-.28,-.29,.29
1901,-.16,-.13,-.18,-.15,-.06,-.30,-.31,-.10,-.15,-.08,-.03,-.27,-.33,.28
1902,-.28,-.34,-.22,-.53,-.05,-.35,-1.47,-.50,-.32,-.04,-.06,-.28,-.43,-.03
1903,-.37,-.38,-.37,-.46,-.30,-.38,-.17,-.42,-.56,-.26,-.34,-.35,-.40,-.48
1904,-.48,-.49,-.46,-.51,-.48,-.43,-.16,-.60,-.56,-.45,-.51,-.37,-.49,-1.31
1905,-.26,-.28,-.23,-.40,-.09,-.35,.01,-.23,-.62,-.12,-.07,-.32,-.37,-.33
1906,-.22,-.23,-.22,-.25,-.20,-.23,-.21,-.07,-.39,-.21,-.19,-.20,-.22,-.70
1907,-.39,-.47,-.31,-.58,-.32,-.29,-.53,-.72,-.52,-.31,-.33,-.21,-.37,-1.19
1908,-.43,-.45,-.41,-.47,-.45,-.35,-.20,-.54,-.51,-.43,-.48,-.29,-.48,.68
1909,-.49,-.50,-.48,-.53,-.50,-.44,-.70,-.62,-.44,-.45,-.54,-.37,-.52,-.56
